@relation 'Random_10_dimensions_SeparationFunction_f(x) =  + 1.0*x0^2 + 2.0*x1^2 + 1.0*x2^2 + 2.0*x3^2 + 1.0*x4^2 + 2.0*x5^2 + 1.0*x6^2 + 2.0*x7^2 + 1.0*x8^2 + 2.0*x9^2'

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute Class {0,1}

@data
-0.418367,-0.007844,-0.295673,0.592614,0.830616,-0.48886,0.935491,-0.43223,0.440692,-0.061266,0
0.579973,0.019424,-0.261637,-0.058452,0.64522,-0.646116,0.462618,0.223191,0.0824,-0.329935,0
0.930494,-0.407296,-0.964379,0.825367,0.467335,0.509154,-0.942299,0.308667,0.820359,-0.916838,1
-0.945039,-0.984525,0.815074,-0.677224,0.420859,-0.766834,0.867674,-0.469747,0.327973,0.669596,1
-0.867493,0.187938,-0.529833,0.196315,-0.957741,-0.584426,-0.31849,-0.872024,0.789485,0.138038,0
-0.194231,0.322403,0.901667,0.471591,0.950117,0.161216,0.47795,-0.481569,0.828891,-0.441227,0
-0.115727,0.753427,-0.711934,-0.452425,-0.255416,0.49358,-0.701675,0.701196,0.919372,-0.440106,0
-0.28558,-0.318831,-0.171246,0.172978,-0.079277,0.532152,-0.044137,-0.632172,0.117704,-0.99989,0
-0.342679,0.769913,0.45127,-0.888906,0.511069,0.443789,-0.553279,0.523655,-0.652134,-0.292871,0
-0.718705,0.755747,0.841264,0.297201,0.314092,0.287429,0.071904,-0.916553,-0.010621,0.753519,0
-0.164533,0.638977,-0.260918,0.965777,-0.370348,0.415416,-0.167468,0.342063,0.234063,-0.990297,0
0.256266,0.470315,-0.412106,-0.931953,-0.346003,0.998082,0.27382,0.741438,0.1166,-0.186259,0
0.332532,-0.711308,-0.81577,-0.42659,-0.63915,-0.582801,-0.192529,-0.972035,0.887365,-0.741851,1
0.211651,0.317458,-0.126899,0.492183,0.61827,0.425625,0.850668,0.073024,0.599689,0.325064,0
-0.306082,-0.759197,-0.521935,0.994045,0.30113,-0.926557,0.626716,-0.551174,0.578245,0.693579,1
0.791927,0.210707,0.024718,0.430157,-0.374585,0.214979,-0.04696,-0.272021,0.502483,0.069291,0
0.914024,0.405113,-0.601855,-0.218136,0.253446,-0.02277,0.103241,0.605353,-0.108343,-0.800458,0
-0.615119,0.480075,0.396298,0.721206,0.830268,0.71069,0.209254,-0.196355,-0.939736,-0.026681,0
0.492521,-0.576579,0.758773,0.525476,0.473653,0.761916,-0.463647,0.57908,-0.600022,0.078207,0
0.031156,0.197209,-0.748191,0.26819,0.847624,-0.211873,-0.78166,0.032132,-0.056902,0.295548,0
0.606007,-0.495546,-0.105222,0.521937,-0.672471,0.443733,0.114233,-0.327906,0.410931,-0.362499,0
0.523928,0.167103,-0.92869,0.045603,0.469991,-0.945821,-0.195837,-0.612518,-0.28227,-0.074228,0
0.687581,0.372922,-0.738851,-0.83827,0.621656,0.582419,0.375003,0.521192,0.586931,-0.877529,1
0.847672,0.636261,0.169771,-0.387254,-0.344575,0.797426,-0.418971,0.806209,-0.526605,-0.428934,0
-0.814594,-0.800068,0.365847,0.252282,-0.837595,0.363463,-0.241886,0.931669,-0.664183,-0.606745,1
-0.635203,-0.957449,-0.562821,-0.104197,-0.866355,0.655595,-0.890346,-0.791209,-0.538262,-0.499421,1
0.812315,-0.811343,-0.049583,-0.279474,-0.549185,0.824674,-0.212368,-0.298734,0.038951,-0.816269,0
-0.518842,-0.030097,0.986645,0.746692,0.113395,0.118542,-0.286634,0.066302,0.54824,-0.014965,0
-0.797937,0.858289,-0.90723,0.910376,0.837157,0.131434,0.001243,-0.207218,0.411181,0.769018,1
0.906218,-0.128609,0.53818,0.093199,0.7713,-0.302131,-0.122042,-0.62447,-0.717636,-0.407849,0
-0.446176,0.000936,-0.271211,-0.971101,-0.062527,0.049141,0.373573,0.864163,0.578166,0.42665,0
0.070928,-0.912878,0.469374,0.364056,0.462211,-0.130323,-0.925404,0.087569,-0.534151,-0.912969,0
-0.223869,-0.791245,-0.36981,-0.695737,-0.086697,0.734863,-0.176278,0.779005,0.233403,0.837034,1
-0.176172,0.497532,0.575083,-0.989957,-0.24362,-0.995787,0.004425,-0.713625,-0.733087,0.117398,1
0.716564,0.930351,-0.752363,0.290072,0.048979,0.741748,0.858891,-0.338548,0.857258,-0.666526,1
-0.594595,-0.831033,0.826381,0.585749,-0.393751,-0.165782,-0.57464,0.629638,0.588361,-0.606859,0
-0.839685,0.175675,-0.462935,-0.190266,-0.459149,-0.221304,0.353018,0.894365,-0.253149,-0.282102,0
-0.106498,0.241812,-0.632426,0.571543,-0.582956,0.01081,-0.217782,-0.721418,0.703825,0.686051,0
-0.239155,0.50491,0.990366,0.895202,-0.313112,0.469818,0.3355,0.597645,-0.562851,0.038609,0
-0.674355,0.51831,-0.597463,-0.149755,0.130924,-0.430934,0.392506,0.524278,-0.160334,0.181834,0
0.238446,-0.420807,-0.272628,0.97167,0.796048,-0.40529,-0.342782,0.954753,0.743898,-0.636549,1
-0.837302,-0.33469,-0.914621,-0.697195,-0.070981,0.947202,-0.416856,0.235678,0.368376,0.939986,1
-0.509715,0.799225,-0.224745,0.835933,0.889492,-0.79644,-0.848575,0.353631,-0.288655,-0.162197,1
0.206288,0.555421,0.075086,0.308745,-0.733207,0.630066,-0.019983,-0.102225,0.872103,0.568694,0
0.572934,0.134632,0.681755,0.281202,-0.773251,0.211899,0.992046,-0.368076,0.487751,0.302086,0
