@relation 'Random_2_dimensions_SeparationFunction_f(x) =  + 1.0*x1^2 + 2.0*x2^2'

@attribute x1 numeric
@attribute x2 numeric
@attribute Class {0,1}

@data
-0.11185,0.794581,1
-0.361071,-0.846447,1
0.588899,0.500495,1
-0.277523,0.88214,1
0.764781,0.869841,1
-0.064113,0.043919,0
-0.010162,-0.187893,0
-0.447797,-0.741855,1
-0.257445,0.784486,1
-0.95357,-0.979729,1
0.22329,0.052885,0
-0.315782,0.261333,0
0.180731,-0.07315,0
0.226024,-0.318738,0
0.292106,0.440767,0
-0.643491,0.590719,1
0.915332,-0.587152,1
-0.989298,0.34481,1
-0.302017,0.402246,0
0.915711,-0.407256,1
-0.11254,0.235742,0
0.781069,-0.561878,1
0.857971,0.466448,1
0.361624,-0.441191,0
0.07747,0.803301,1
-0.573878,0.515079,1
0.1707,0.752916,1
-0.159326,-0.737071,1
-0.835749,0.460238,1
-0.555037,-0.128229,0
-0.977252,-0.420157,1
0.189196,0.685876,1
0.23319,0.323287,0
-0.136967,-0.370065,0
-0.559505,-0.275103,0
0.399144,-0.033359,0
-0.373271,-0.09565,0
0.496313,-0.411383,0
0.546807,0.96594,1
-0.56441,-0.162156,0
0.554091,0.026739,0
-0.456898,0.779107,1
-0.793815,-0.469267,1
-0.560862,-0.6119,1
0.106102,0.996044,1
0.375807,-0.87695,1
-0.272415,0.3454,0
-0.390514,-0.370359,0
-0.168568,-0.322425,0
-0.108171,0.363515,0
0.140076,0.290744,0
-0.445522,0.838517,1
0.737068,0.697184,1
0.70667,-0.849329,1
-0.671658,-0.227685,0
0.276547,0.917993,1
0.30171,-0.496852,0
-0.902758,-0.637006,1
-0.474982,0.676983,1
0.314468,-0.015548,0
-0.704228,0.698031,1
-0.798578,0.990502,1
-0.421159,0.6872,1
-0.080684,-0.688025,1
-0.189761,0.282688,0
0.72538,0.882612,1
0.5631,0.952238,1
-0.999201,-0.748238,1
-0.874575,-0.998338,1
-0.349878,-0.116597,0
-0.732507,-0.403507,1
-0.34138,-0.599391,1
-0.683297,0.511601,1
-0.916649,0.957056,1
-0.164025,-0.765666,1
-0.600835,-0.147054,0
-0.658069,-0.917172,1
-0.205141,0.507056,0
-0.812617,0.755641,1
0.565366,-0.807481,1
0.112026,-0.043699,0
0.36001,-0.640112,1
-0.276357,0.985279,1
0.904292,-0.880465,1
-0.129632,0.539387,0
-0.150626,-0.098317,0
-0.188372,0.220464,0
-0.347958,0.0239,0
-0.690299,-0.875426,1
0.293805,-0.152491,0
0.324456,-0.248226,0
0.26991,-0.126561,0
0.43702,-0.343004,0
-0.439614,-0.617706,1
0.251115,-0.111937,0
-0.172796,-0.248903,0
-0.620223,-0.532027,1
-0.717587,0.022816,0
-0.622683,0.823088,1
0.367535,0.447726,0
-0.376555,-0.630517,1
0.23941,0.106782,0
-0.98284,0.671075,1
-0.257743,0.478777,0
0.481426,-0.652474,1
-0.456512,-0.610699,1
0.397927,-0.989406,1
0.947777,0.664146,1
-0.468676,-0.387605,0
-0.061453,0.127026,0
0.506165,0.020992,0
-0.931005,0.621449,1
-0.60021,-0.085089,0
0.34358,0.958102,1
-0.014874,0.981115,1
-0.539323,0.285011,0
-0.570092,-0.212247,0
0.407719,0.058968,0
0.853458,0.992327,1
0.782542,0.922996,1
0.899354,0.709019,1
0.231179,0.497374,0
-0.658314,0.451614,1
-0.866845,0.876773,1
0.260844,0.178303,0
0.212467,-0.242331,0
-0.511608,0.756183,1
-0.701882,-0.85436,1
0.416259,-0.679766,1
-0.126808,0.516371,0
0.954719,0.178937,1
